name,mult,charge,chi,orig_name,orig_chi,orig_smi
N2,1,0,AMChI=1/N2/c1-2,N2,InChI=1S/N2/c1-2,N#N
Ar,1,0,AMChI=1/Ar,Ar,InChI=1S/Ar,[Ar]
He,1,0,AMChI=1/He,He,InChI=1S/He,[He]
Ne,1,0,AMChI=1/Ne,Ne,InChI=1S/Ne,[Ne]
C5H7O(1)rs,2,0,"AMChI=1/C5H7O/c1-4-2-3-5(1)6-4/h1,4-5H,2-3H2/t4-,5+",C5H7O(1),"InChI=1S/C5H7O/c1-2-5-3-4(1)6-5/h3-5H,1-2H2",O1C2CCC1[CH]2
C5H7O(2)rs0,2,0,"AMChI=1/C5H7O/c1-2-5-3-4(1)6-5/h1,4-5H,2-3H2/t4-,5+/m0/s1",C5H7O(2),"InChI=1S/C5H7O/c1-2-5-3-4(1)6-5/h1,4-5H,2-3H2",O1C2CC1[CH]C2
C5H7O(2)rs1,2,0,"AMChI=1/C5H7O/c1-2-5-3-4(1)6-5/h1,4-5H,2-3H2/t4-,5+/m1/s1",C5H7O(2),"InChI=1S/C5H7O/c1-2-5-3-4(1)6-5/h1,4-5H,2-3H2",O1C2CC1[CH]C2
C5H7O(3)r0,2,0,"AMChI=1/C5H7O/c1-2-5-3-4(1)6-5/h5H,1-3H2/t5-/m0/s1",C5H7O(3),"InChI=1S/C5H7O/c1-2-5-3-4(1)6-5/h4H,1-3H2",O1C2CC[C]1C2
C5H7O(3)r1,2,0,"AMChI=1/C5H7O/c1-2-5-3-4(1)6-5/h5H,1-3H2/t5-/m1/s1",C5H7O(3),"InChI=1S/C5H7O/c1-2-5-3-4(1)6-5/h4H,1-3H2",O1C2CC[C]1C2
O2(4),3,0,AMChI=1/O2/c1-2,O2(4),InChI=1S/O2/c1-2,O=O
C5H7O(14),2,0,"AMChI=1/C5H7O/c6-5-3-1-2-4-5/h1H,2-4H2",C5H7O(14),"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1H,2-4H2",O=C1CC[CH]C1
C5H7O(5)r0,2,0,"AMChI=1/C5H7O/c6-5-2-1-3-4-5/h1-2,5H,3-4H2/t5-/m0/s1",C5H7O(5),"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1,3,5H,2,4H2",[O]C1CCC=C1
C5H7O(5)r1,2,0,"AMChI=1/C5H7O/c6-5-2-1-3-4-5/h1-2,5H,3-4H2/t5-/m1/s1",C5H7O(5),"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1,3,5H,2,4H2",[O]C1CCC=C1
C5H7O(15),2,0,"AMChI=1/C5H7O/c1-5-4-3-2-6-5/h2H,1,3-4H2",C5H7O(15),"InChI=1S/C5H7O/c1-5-3-2-4-6-5/h4H,1-3H2",C=C1O[CH]CC1
C5H7O(9),2,0,"AMChI=1/C5H7O/c6-5-3-1-2-4-5/h1-2,5H,3-4H2",C5H7O(9),"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1-2,5H,3-4H2",[O]C1CC=CC1
C5H7O(11)r0,2,0,"AMChI=1/C5H7O/c1-5-4-2-3-6-5/h2-3,5H,1,4H2/t5-/m0/s1",C5H7O(11),"InChI=1S/C5H7O/c1-5-3-2-4-6-5/h2,4-5H,1,3H2",[CH2]C1OC=CC1
C5H7O(11)r1,2,0,"AMChI=1/C5H7O/c1-5-4-2-3-6-5/h2-3,5H,1,4H2/t5-/m1/s1",C5H7O(11),"InChI=1S/C5H7O/c1-5-3-2-4-6-5/h2,4-5H,1,3H2",[CH2]C1OC=CC1
C5H7O(10)r0,2,0,"AMChI=1/C5H7O/c1-2-5-4-3-6-5/h2-3,5H,1,4H2/t5-/m0/s1",C5H7O(10),"InChI=1S/C5H7O/c1-2-5-3-4-6-5/h2,4-5H,1,3H2",C=CC1O[CH]C1
C5H7O(10)r1,2,0,"AMChI=1/C5H7O/c1-2-5-4-3-6-5/h2-3,5H,1,4H2/t5-/m1/s1",C5H7O(10),"InChI=1S/C5H7O/c1-2-5-3-4-6-5/h2,4-5H,1,3H2",C=CC1O[CH]C1
C5H7O(6)r0,2,0,"AMChI=1/C5H7O/c1-4-5-2-3-6-5/h2-3,5H,1,4H2/t5-/m0/s1",C5H7O(6),"InChI=1S/C5H7O/c1-2-5-3-4-6-5/h3-5H,1-2H2",[CH2]CC1OC=C1
C5H7O(6)r1,2,0,"AMChI=1/C5H7O/c1-4-5-2-3-6-5/h2-3,5H,1,4H2/t5-/m1/s1",C5H7O(6),"InChI=1S/C5H7O/c1-2-5-3-4-6-5/h3-5H,1-2H2",[CH2]CC1OC=C1
C5H7O(16)r0,2,0,"AMChI=1/C5H7O/c1-4-3-5(2)6-4/h5H,1-3H2/t5-/m0/s1",C5H7O(16),"InChI=1S/C5H7O/c1-4-3-5(2)6-4/h4H,1-3H2",[CH2]C1OC(C1)=C
C5H7O(16)r1,2,0,"AMChI=1/C5H7O/c1-4-3-5(2)6-4/h5H,1-3H2/t5-/m1/s1",C5H7O(16),"InChI=1S/C5H7O/c1-4-3-5(2)6-4/h4H,1-3H2",[CH2]C1OC(C1)=C
C5H7O3(19)rr0,2,0,"AMChI=1/C5H7O3/c6-8-5-2-1-4(7-5)3-5/h4H,1-3H2/t4-,5-/m0/s1",C5H7O3(19),"InChI=1S/C5H7O3/c6-8-5-2-1-4(3-5)7-5/h4H,1-3H2",[O]OC12OC(C1)CC2
C5H7O3(19)rs1,2,0,"AMChI=1/C5H7O3/c6-8-5-2-1-4(7-5)3-5/h4H,1-3H2/t4-,5+/m1/s1",C5H7O3(19),"InChI=1S/C5H7O3/c6-8-5-2-1-4(3-5)7-5/h4H,1-3H2",[O]OC12OC(C1)CC2
C5H7O3(19)rr1,2,0,"AMChI=1/C5H7O3/c6-8-5-2-1-4(7-5)3-5/h4H,1-3H2/t4-,5-/m1/s1",C5H7O3(19),"InChI=1S/C5H7O3/c6-8-5-2-1-4(3-5)7-5/h4H,1-3H2",[O]OC12OC(C1)CC2
C5H7O3(18)rrs0,2,0,"AMChI=1/C5H7O3/c6-8-5-2-3-1-4(5)7-3/h3-5H,1-2H2/t3-,4-,5+/m0/s1",C5H7O3(18),"InChI=1S/C5H7O3/c6-8-5-2-3-1-4(5)7-3/h3-5H,1-2H2",[O]OC1C2OC(C2)C1
C5H7O3(18)rsr0,2,0,"AMChI=1/C5H7O3/c6-8-5-2-3-1-4(5)7-3/h3-5H,1-2H2/t3-,4+,5-/m0/s1",C5H7O3(18),"InChI=1S/C5H7O3/c6-8-5-2-3-1-4(5)7-3/h3-5H,1-2H2",[O]OC1C2OC(C2)C1
