phi,O2_molecules,CPT_frac,N2_frac,O2_frac,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
3.0,0.12233,0.005,0.9825,0.0125,,,,,,,,,,,,,,,,,,,,
2.0,0.1835,0.005,0.97625,0.01875,,,,,,,,,,,,,,,,,,,,
1.75,0.20962,0.005,0.973571429,0.021428571,,,,,,,,,,,,,,,,,,,,
1.5,0.24456,0.005,0.97,0.025,,,,,,,,,,,,,,,,,,,,
1.25,0.29347,0.005,0.965,0.03,,,,,,,,,,,,,,,,,,,,
1.1,0.33349,0.005,0.960909091,0.034090909,,,,,,,,,,,,,,,,,,,,
1.0,0.36699,0.005,0.9575,0.0375,,,,,,,,,,,,,,,,,,,,
0.9,0.40744,0.005,0.953333333,0.041666667,,,,,,,,,,,,,,,,,,,,
0.75,0.48933,0.005,0.945,0.05,,,,,,,,,,,,,,,,,,,,
0.65,0.56436,0.005,0.937307692,0.057692308,,,,,,,,,,,,,,,,,,,,
0.6,0.61116,0.005,0.9325,0.0625,,,,,,,,,,,,,,,,,,,,
0.55,0.66697,0.005,0.926818182,0.068181818,,,,,,,,,,,,,,,,,,,,
0.5,0.73349,0.005,0.92,0.075,,,,,,,,,,,,,,,,,,,,
0.45,0.81519,0.005,0.911666667,0.083333333,,,,,,,,,,,,,,,,,,,,
0.4,0.91709,0.005,0.90125,0.09375,,,,,,,,,,,,,,,,,,,,
0.35,1.0482,0.005,0.887857143,0.107142857,,,,,,,,,,,,,,,,,,,,
0.31,1.18334,0.005,0.874032258,0.120967742,,,,,,,,,,,,,,,,,,,,
0.28,1.31012,0.005,0.861071429,0.133928571,,,,,,,,,,,,,,,,,,,,
0.25,1.46734,0.005,0.845,0.15,,,,,,,,,,,,,,,,,,,,
0.23,1.59493,0.005,0.831956522,0.163043478,,,,,,,,,,,,,,,,,,,,
0.2,1.83417,0.005,0.8075,0.1875,664.8177889964168,113.01233216068115,1413.3848736536052,179428.15411278783,803763.79548318,339.7101964755035,6292.580775505364,3179.6698076975986,776.4672215709518,263.1456927420239,18.717472092688748,1072.251896756807,75.42126959626678,156.21867856556295,22.35108035953705,9.905269684969419,139.80398771911354,1.8176463055761327,5.594486116895242,0.0023015729878782024
0.19,1.93071,0.005,0.797631579,0.197368421,668.0591486516421,113.86493124378038,1402.590308671002,189214.1593203122,793969.2200171974,326.8380179440812,6338.1191753520625,3158.6468322499595,785.4661038863238,255.7344700122782,18.23593774817898,1052.838599261045,72.29166867372743,151.112382537049,22.289908868851168,9.342968570690457,141.27869293942047,1.765864837430645,5.675536039378082,0.0023280166915842586
0.17,2.15785,0.005,0.774411765,0.220588235,674.6585006515076,115.587725231493,1380.9781113981496,212261.69530204328,770918.8274597883,299.7759597076306,6428.622103143435,3108.724022742617,801.0832180621259,239.57629538407343,17.208497372897273,1010.3212471787343,65.84258065507962,140.601063865083,22.110191058254237,8.215525972896724,144.39114402636716,1.6563583009227505,5.841965474195097,0.0023822781533651724
0.15,2.44557,0.005,0.745,0.25,681.3102776971128,117.3197734829635,1359.1263412946134,241487.5341382826,741711.8283658747,270.88750414576106,6518.417482659359,3047.271031066314,812.3966679196834,221.47433947155352,16.087782110315434,961.9894594597905,59.14523905483665,129.69579470967616,21.839453570795786,7.088086037112922,147.6986812471265,1.5378830861824464,6.014723133774452,0.0024390145327873023
0.13,2.75147,0.005,0.706538462,0.288461538,687.8367601787513,119.0369720161668,1336.7462061967517,279742.9746814445,703501.6408531051,240.07572090060393,6607.335625337263,2972.4831594932334,817.4878978718951,201.19021893975608,14.861190784745725,906.3868321633367,52.21011937080028,118.40558049138897,21.457424032451726,5.966508050038289,151.14473468068624,1.4086995673647347,6.194556504312919,0.00249919397686473
0.11,3.33486,0.005,0.654090909,0.340909091,693.9736439251039,120.7052479803679,1313.5263163932668,331953.7373861682,651370.3654497546,207.22864951889633,6694.515067820655,2881.3702718383774,813.415672186822,178.4191797120147,13.509405241383662,841.3986660452931,45.05491902024332,106.74310796670646,20.940146674996015,4.858645878298044,154.61114649672493,1.2662251963471525,6.382256784929039,0.0025639851913444836
0.1,3.66835,0.005,0.62,0.375,696.7808809016359,121.50753209071608,1301.5183929389534,365909.50374864874,617471.1601557405,190.00523195064312,6736.743883075215,2828.1604930579174,806.5693710170533,165.9815856300713,12.777540937068347,804.4498675621551,41.40305042573434,100.77644310685567,20.621994816852176,4.313021168256681,156.2841423340077,1.1888404286444654,6.479276861744936,0.002598479467792468
